Column1,Column2,Column3,Column4,Column5,Column6,Column7
type,english,burmese,example_en,example_my,pronunciation,category
word,generous,ရက်ရောသော,She is generous with her time.,သူမသည် သူမ၏အချိန်ကို ရက်ရောစွာ ပေးတတ်သည်။,/ˈdʒɛn.ər.əs/,personality
word,curious,စူးစမ်းလိုစိတ်ရှိသော,Children are naturally curious.,ကလေးများသည် သဘာဝအားဖြင့် စူးစမ်းလိုစိတ်ရှိကြသည်။,/ˈkjʊə.ri.əs/,personality
word,honest,ရိုးသားသော,He is always honest with his friends.,သူသည် သူ၏မိတ်ဆွေများအပေါ် အမြဲရိုးသားသည်။,/ˈɒn.ɪst/,personality
word,brave,ရဲရင့်သော,The brave firefighter saved the child.,ရဲရင့်သော မီးသတ်သမားသည် ကလေးကို ကယ်တင်ခဲ့သည်။,/breɪv/,personality
word,patient,စိတ်ရှည်သော,A good teacher must be patient.,ဆရာကောင်းတစ်ယောက်သည် စိတ်ရှည်ရမည်။,/ˈpeɪ.ʃənt/,personality
word,lazy,ပျင်းရိသော,He was too lazy to clean his room.,သူသည် အခန်းသန့်ရှင်းရေးလုပ်ရန် အလွန်ပျင်းရိသည်။,/ˈleɪ.zi/,personality
word,diligent,ဝီရိယရှိသော,She is a diligent student who never gives up.,သူမသည် ဘယ်တော့မှ လက်မလျှော့သည် ဝီရိယရှိသောကျောင်းသူ ဖြစ်သည်။,/ˈdɪl.ɪ.dʒənt/,personality
word,humble,နှိမ့်ချသော,"Despite his success, he stayed humble.",အောင်မြင်သော်လည်း သူသည် နှိမ့်ချစွာ နေထိုင်သည်။,/ˈhʌm.bəl/,personality
word,arrogant,မာနကြီးသော,Nobody likes his arrogant attitude.,သူ၏ မာနကြီးသောစိတ်ထားကို ဘယ်သူမှ မကြိုက်ပါ။,/ˈær.ə.ɡənt/,personality
word,cheerful,ရွှင်လန်းသော,Her cheerful smile brightened the room.,သူမ၏ ရွှင်လန်းသောအပြုံးက အခန်းကို လင်းလက်စေသည်။,/ˈtʃɪə.fəl/,personality
word,reliable,စိတ်ချရသော,He is a reliable friend in hard times.,သူသည် အခက်အခဲကာလတွင် စိတ်ချရသောမိတ်ဆွေဖြစ်သည်။,/rɪˈlaɪ.ə.bəl/,personality
