id,type,english,burmese,example_en,example_my,pronunciation,audio_url,category
,word,say,ပြော,Can you say that again?,ပြန်ပြောပြပါလား။,/seɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/say-us.mp3,conversation
,word,go,သွား,I go to school every day.,ကျွန်တော် နေ့တိုင်း ကျောင်းသွားတယ်။,/ɡəʉ/,https://api.dictionaryapi.dev/media/pronunciations/en/go-1-au.mp3,everyday
,word,know,သိ,I don't know his name.,သူ့နာမည် မသိဘူး။,/nəʊ/,https://api.dictionaryapi.dev/media/pronunciations/en/know-uk.mp3,everyday
,word,like,ကြိုက်၊ နှစ်သက်,I like coffee in the morning.,မနက်ခင်းမှာ ကော်ဖီကို ကြိုက်တယ်။,/laɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/like-us.mp3,everyday
,word,think,ထင်၊ တွေး,I think it will rain today.,ဒီနေ့ မိုးရွာမယ်လို့ ထင်တယ်။,/θɪŋk/,https://api.dictionaryapi.dev/media/pronunciations/en/think-us.mp3,everyday
,word,make,လုပ်၊ ပြုလုပ်,She wants to make a cake.,သူ ကိတ်မုန့်လုပ်ချင်တယ်။,/meɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/make-uk.mp3,everyday
,word,time,အချိန်,What time is it now?,အခု အချိန်ဘယ်လောက်ရှိပြီလဲ။,/tɑem/,https://api.dictionaryapi.dev/media/pronunciations/en/time-au.mp3,everyday
,word,see,မြင်၊ တွေ့,I can see the mountain from here.,ဒီကနေ တောင်ကို မြင်ရတယ်။,/siː/,https://api.dictionaryapi.dev/media/pronunciations/en/see-us.mp3,everyday
,word,up,အပေါ်၊ အထက်,Please stand up.,ကျေးဇူးပြု၍ မတ်တပ်ရပ်ပါ။,/ap/,https://api.dictionaryapi.dev/media/pronunciations/en/up-au.mp3,everyday
,word,out,အပြင်,He went out for lunch.,သူ နေ့လယ်စာစားဖို့ အပြင်ထွက်သွားတယ်။,/æɔt/,https://api.dictionaryapi.dev/media/pronunciations/en/out-au.mp3,everyday
,word,good,ကောင်း,This soup tastes good.,ဒီဟင်းက အရသာကောင်းတယ်။,/ɡʊ(d)/,https://api.dictionaryapi.dev/media/pronunciations/en/good-uk.mp3,everyday
,word,people,လူ၊ လူများ,Many people live in this city.,ဒီမြို့မှာ လူအများကြီး နေထိုင်ကြတယ်။,/ˈpiːpəl/,https://api.dictionaryapi.dev/media/pronunciations/en/people-uk.mp3,people
,word,year,နှစ်,I moved here last year.,ကျွန်တော် မနှစ်က ဒီကို ပြောင်းလာတာ။,/jɪə/,https://api.dictionaryapi.dev/media/pronunciations/en/year-1-uk.mp3,everyday
,word,take,ယူ,Please take a seat.,ကျေးဇူးပြု၍ ထိုင်ပါ။,/teɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/take-au.mp3,everyday
,word,well,ကောင်းစွာ,She sings very well.,သူ အရမ်းကောင်းစွာ သီချင်းဆိုတတ်တယ်။,/wɛl/,https://api.dictionaryapi.dev/media/pronunciations/en/well-uk.mp3,everyday
,word,very,အလွန်၊ အရမ်း,This book is very interesting.,ဒီစာအုပ်က အရမ်းစိတ်ဝင်စားစရာကောင်းတယ်။,/ˈvɛɹi/,https://api.dictionaryapi.dev/media/pronunciations/en/very-uk.mp3,everyday
,word,just,ရုံ၊ ခုတင်,I just finished my homework.,ကျွန်တော် အိမ်စာကို အခုမှ ပြီးသွားတာ။,/d͡ʒʌst/,https://api.dictionaryapi.dev/media/pronunciations/en/just-us.mp3,everyday
,word,come,လာ,Please come here.,ဒီကို လာခဲ့ပါ။,/kʌm/,https://api.dictionaryapi.dev/media/pronunciations/en/come-1-uk.mp3,everyday
